"","node_id","track_name","X","Y","Z","cell_type","timepoint","DistBorder"
"40620",62478,"full_ec1_finished",607.2314153,689.496472,1216.382254,"ET",347,93.95492554
"40621",62482,"full_ec1_finished",828.3472883,707.2841408,1348.734206,"ET",347,96.68750763
"40622",62485,"full_ec1_finished",824.888083,677.3414793,1336.313831,"ET",347,88.83049774
"40623",62489,"full_ec1_finished",689.4069658,758.42569,1403.043064,"ET",347,46.0467453
"40624",62496,"full_ec1_finished",787.3355637,701.8203801,1369.787936,"ET",347,74.67811584
"40625",62513,"full_ec1_finished",640.7218774,679.1222685,1210.504912,"ET",347,80.08835602
"40626",63379,"full_ec1_finished",825.2015496,801.9385657,1384.332306,"ET",347,81.70729828
"40627",63401,"full_ec1_finished",820.1777432,813.0114985,1381.961166,"ET",347,83.33305359
"40628",63908,"full_my_SplMes1_finished",678.4488289,831.3648294,1334.169114,"CM",347,90.55012512
"40629",63943,"full_my_SplMes1_finished",694.8338272,833.1354999,1328.282027,"CM",347,96.06351471
"40630",64205,"full_my_SplMes1_finished",699.5565075,868.1643308,1348.664366,"CM",347,56.80478287
"40631",64237,"full_my_SplMes1_finished",699.5565075,868.1643308,1348.664366,"CM",347,56.80478287
"40632",64244,"full_uc1",1027.940028,458.3190623,1115.863003,"ET",347,24.63433266
"40633",64253,"full_uc1",1014.158367,459.7557216,1125.216571,"ET",347,27.76035881
"40634",64267,"full_uc1",1074.241145,481.8348444,1103.467375,"ET",347,0
"40635",65211,"full_my_JCF1",926.4562193,525.9671863,1212.505185,"CM",347,55.79941177
"40636",65328,"full_my_JCF1",970.547809,527.853888,1224.49297,"CM",347,50.09344864
"40637",65529,"full_my_JCF1",966.4288134,504.5869497,1206.253303,"CM",347,41.68481827
"40638",65545,"full_my_JCF1",958.4187273,491.6781333,1196.919236,"CM",347,41.34082794
"40639",67583,"partial_my3",786.242223,668.0954068,1300.316261,"CM",347,76.21495056
"40640",67703,"partial_my3",780.7864559,661.686577,1302.131568,"CM",347,67.60679626
"40641",69912,"full_my1",839.1764779,764.7204821,1328.963132,"CM",347,86.11265564
"40642",70191,"full_my1",857.6213849,746.5005181,1351.24254,"CM",347,73.13981628
"40643",70448,"full_my1",853.5402941,713.0171486,1302.570878,"CM",347,77.5839386
"40644",71166,"full_my1",771.9851889,636.402419,1294.52484,"CM",347,46.40834045
"40645",71299,"full_my1",770.4285914,631.1278463,1297.857532,"CM",347,40.23468018
"40646",71964,"full_my1",782.1072538,691.6616817,1297.787469,"CM",347,94.92684174
"40647",72084,"full_my1",796.5941317,695.9268539,1299.846517,"CM",347,104.9353714
"40648",72588,"full_my_JCF1",957.8839256,505.0835389,1219.945109,"CM",347,32.14710999
