"Param","Nobs","Nsamp","Nevent","OR","ORCI_low","ORCI_upp","pval","Model"
"asphericity_win50",33300,158,23748,0.716225405234333,0.122977823355708,4.17131168128841,0.710443241855714,"glmer"
"asphericity_win60",31735,155,22663,0.709680525944981,0.123039266123591,4.09337981908669,0.701290109258619,"glmer"
"asphericity_win70",30192,153,21597,0.717102440731405,0.12095299841758,4.25153503617648,0.714219681289179,"glmer"
"asphericity_win80",28665,152,20537,0.726712264821165,0.116873539282339,4.51865083477721,0.732068816812993,"glmer"
"asphericity_win90",27187,144,19515,0.72668359068481,0.110952714457426,4.75940623492539,0.739170312766524,"glmer"
"asphericity_win100",25747,141,18505,0.752401721157754,0.113186089036384,5.0015717904978,0.768485850418826,"glmer"
"overallAngle_win1",173,173,126,NA,NA,NA,NA,"glm-ERROR"
"overallAngle_win5",40759,171,28925,1.0198663767141,0.241632056603815,4.3045920353911,0.978639542133675,"glmer"
"overallAngle_win10",39906,170,28335,1.05350366803868,0.249740075960708,4.44410042842131,0.943422769295206,"glmer"
"overallAngle_win15",39056,170,27745,1.03930116466014,0.24557053323192,4.39852003678232,0.95823470321283,"glmer"
"overallAngle_win20",38209,169,27158,1.04876201078024,0.249036574607067,4.41662738491825,0.948251559958004,"glmer"
"overallAngle_win25",37368,167,26577,1.0483183805615,0.241454547357366,4.55146295255537,0.949774630467074,"glmer"
"overallAngle_win30",36536,166,25997,1.05105521895966,0.24086209173545,4.58651282708161,0.947185341658968,"glmer"
"overallAngle_win35",35713,164,25424,1.03432458659123,0.237582713070167,4.50296798366456,0.964133505153788,"glmer"
"overallAngle_win40",34897,163,24858,1.03951629085428,0.237316303753373,4.55339183132747,0.958987593887016,"glmer"
"overallAngle_win45",34084,162,24293,1.03983020282893,0.235328705304876,4.59462371712988,0.958910505466571,"glmer"
"overallAngle_win50",33287,158,23739,1.02883966241802,0.227966762037105,4.64326922708201,0.97050276149672,"glmer"
"overallAngle_win60",31722,155,22654,1.02035233219265,0.233627072369799,4.45632807555385,0.978629321956739,"glmer"
"overallAngle_win70",30179,153,21588,0.991140903848235,0.221597216717544,4.4330894847531,0.990710589198555,"glmer"
"overallAngle_win80",28652,152,20528,0.958513176770913,0.207748740300906,4.4223975014854,0.956685778176771,"glmer"
"overallAngle_win90",27174,144,19506,0.979945928559017,0.20598317731201,4.6620021859591,0.979690770586575,"glmer"
"overallAngle_win100",25736,141,18496,0.948271407582613,0.196830955895855,4.56848191559103,0.947210196151636,"glmer"
"meanTurningAngle_win1",0,0,0,NA,NA,NA,NA,"glm-ERROR"
"meanTurningAngle_win5",40773,171,28935,0.958836721512528,0.228500739307188,4.02347870430708,0.954190987029754,"glmer"
"meanTurningAngle_win10",39920,170,28345,0.934947913441374,0.216157993170534,4.04392910956918,0.928269522129538,"glmer"
"meanTurningAngle_win15",39070,170,27755,0.924022788374626,0.209392752493545,4.07759152725184,0.91691121099895,"glmer"
"meanTurningAngle_win20",38222,169,27167,0.910416044091753,0.20486546787877,4.04586181322739,0.901847365120747,"glmer"
"meanTurningAngle_win25",37381,167,26586,0.899264025609627,0.199828360843851,4.04685193002981,0.889957756948283,"glmer"
"meanTurningAngle_win30",36549,166,26006,0.888047446658521,0.191071782902392,4.12739262458019,0.879609152569794,"glmer"
"meanTurningAngle_win35",35726,164,25433,0.878966104607956,0.186945750423343,4.132650307911,0.870243445104384,"glmer"
"meanTurningAngle_win40",34910,163,24867,0.870219133015973,0.177418308416716,4.26833817899102,0.863964242002531,"glmer"
"meanTurningAngle_win45",34097,162,24302,0.869197962873531,0.174029884052896,4.34123772922737,0.864356001342059,"glmer"
"meanTurningAngle_win50",33300,158,23748,0.872971487830784,0.173982070715771,4.3802169696582,0.868881069856548,"glmer"
"meanTurningAngle_win60",31735,155,22663,0.868047472424342,0.162215186445674,4.64510401826428,0.868665222303695,"glmer"
"meanTurningAngle_win70",30192,153,21597,0.860292066846949,0.151492992413147,4.88539059457886,0.865147173543003,"glmer"
"meanTurningAngle_win80",28665,152,20537,0.86481950032048,0.150699211130774,4.96295078469616,0.87058376607027,"glmer"
"meanTurningAngle_win90",27187,144,19515,0.927502565198378,0.151577434868407,5.67538967258823,0.935098182011995,"glmer"
"meanTurningAngle_win100",25747,141,18505,NA,NA,NA,NA,"glmer-WARN"
"overallDot_win1",41464,173,29414,1.13094819898242,0.248744652769701,5.14199527322413,0.873461339107132,"glmer"
"overallDot_win5",40773,171,28935,NA,NA,NA,NA,"glmer-WARN"
"overallDot_win10",39920,170,28345,1.00019483351737,0.210923105277765,4.74291189520189,0.99980426317489,"glmer"
"overallDot_win15",39070,170,27755,1.01438658581716,0.213028660035626,4.83024277256267,0.985687284582935,"glmer"
"overallDot_win20",38222,169,27167,0.999844823752527,0.210379763111758,4.75183381138075,0.99984430003489,"glmer"
"overallDot_win25",37381,167,26586,0.995216761319699,0.208045518391109,4.76076778616154,0.995209537097587,"glmer"
